"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Right Breast","01-Nov-2020 21:27","01-Nov-2020 21:33",""
"Feeding","Right Breast","01-Nov-2020 21:00","01-Nov-2020 21:05",""
"Feeding","Left Breast","01-Nov-2020 20:07","01-Nov-2020 20:14",""
"Sleep","","01-Nov-2020 19:10","01-Nov-2020 20:07",""
"Feeding","Right Breast","01-Nov-2020 18:29","01-Nov-2020 18:36",""
"Feeding","Left Breast","01-Nov-2020 17:24","01-Nov-2020 17:30",""
"Sleep","","01-Nov-2020 16:47","01-Nov-2020 17:14",""
"Feeding","Right Breast","01-Nov-2020 16:43","01-Nov-2020 16:47",""
"Feeding","Left Breast","01-Nov-2020 16:02","01-Nov-2020 16:10",""
"Feeding","Right Breast","01-Nov-2020 14:54","01-Nov-2020 15:03",""
"Sleep","","01-Nov-2020 13:49","01-Nov-2020 14:24",""
"Feeding","Left Breast","01-Nov-2020 12:59","01-Nov-2020 13:08",""
"Sleep","","01-Nov-2020 11:53","01-Nov-2020 12:40",""
"Feeding","Right Breast","01-Nov-2020 11:43","01-Nov-2020 11:53",""
"Feeding","Left Breast","01-Nov-2020 10:44","01-Nov-2020 10:52",""
"Sleep","","01-Nov-2020 08:15","01-Nov-2020 10:03",""
"Feeding","Right Breast","01-Nov-2020 08:08","01-Nov-2020 08:13",""
"Sleep","","01-Nov-2020 06:53","01-Nov-2020 08:07",""
"Feeding","Left Breast","01-Nov-2020 06:34","01-Nov-2020 06:45",""
"Sleep","","01-Nov-2020 03:15","01-Nov-2020 06:32",""
"Feeding","Right Breast","01-Nov-2020 03:03","01-Nov-2020 03:09",""
"Sleep","","31-Oct-2020 22:50","01-Nov-2020 02:57",""
"Feeding","Left Breast","31-Oct-2020 22:41","31-Oct-2020 22:49",""
"Feeding","Right Breast","31-Oct-2020 21:30","31-Oct-2020 21:39",""
"Feeding","Left Breast","31-Oct-2020 20:38","31-Oct-2020 20:44",""
"Sleep","","31-Oct-2020 19:55","31-Oct-2020 20:36",""
"Feeding","Right Breast","31-Oct-2020 19:24","31-Oct-2020 19:37",""
"Feeding","Left Breast","31-Oct-2020 18:31","31-Oct-2020 18:46",""
"Feeding","Right Breast","31-Oct-2020 17:16","31-Oct-2020 17:21",""
"Sleep","","31-Oct-2020 16:02","31-Oct-2020 16:56",""
"Feeding","Left Breast","31-Oct-2020 15:48","31-Oct-2020 15:59",""
"Feeding","Right Breast","31-Oct-2020 14:47","31-Oct-2020 14:55",""
"Sleep","","31-Oct-2020 14:10","31-Oct-2020 14:20",""
"Sleep","","31-Oct-2020 13:12","31-Oct-2020 13:44",""
"Feeding","Left Breast","31-Oct-2020 12:45","31-Oct-2020 12:50",""
"Feeding","Right Breast","31-Oct-2020 11:59","31-Oct-2020 12:06",""
"Feeding","Left Breast","31-Oct-2020 11:11","31-Oct-2020 11:16",""
"Feeding","Right Breast","31-Oct-2020 09:57","31-Oct-2020 10:10",""
"Sleep","","31-Oct-2020 06:55","31-Oct-2020 09:53",""
"Feeding","Right Breast","31-Oct-2020 06:42","31-Oct-2020 06:47",""
"Feeding","Left Breast","31-Oct-2020 06:02","31-Oct-2020 06:11",""
"Sleep","","31-Oct-2020 00:24","31-Oct-2020 05:45",""
"Feeding","Right Breast","31-Oct-2020 00:14","31-Oct-2020 00:23",""
"Sleep","","30-Oct-2020 22:42","31-Oct-2020 00:13",""
"Feeding","Left Breast","30-Oct-2020 22:38","30-Oct-2020 22:43",""
"Feeding","Right Breast","30-Oct-2020 22:23","30-Oct-2020 22:31",""
"Feeding","Left Breast","30-Oct-2020 21:31","30-Oct-2020 21:45",""
"Feeding","Left Breast","30-Oct-2020 20:49","30-Oct-2020 20:58",""
"Feeding","Right Breast","30-Oct-2020 20:13","30-Oct-2020 20:19",""
"Sleep","","30-Oct-2020 19:20","30-Oct-2020 20:02",""
"Feeding","Left Breast","30-Oct-2020 19:16","30-Oct-2020 19:19",""
"Feeding","Right Breast","30-Oct-2020 18:42","30-Oct-2020 18:45",""
"Feeding","Left Breast","30-Oct-2020 17:40","30-Oct-2020 17:49",""
"Sleep","","30-Oct-2020 16:32","30-Oct-2020 17:22",""
"Feeding","Right Breast","30-Oct-2020 16:26","30-Oct-2020 16:32",""
"Feeding","Left Breast","30-Oct-2020 15:44","30-Oct-2020 15:53",""
"Feeding","Right Breast","30-Oct-2020 14:23","30-Oct-2020 14:35",""
"Sleep","","30-Oct-2020 12:53","30-Oct-2020 14:19",""
"Feeding","Left Breast","30-Oct-2020 12:10","30-Oct-2020 12:17",""
"Sleep","","30-Oct-2020 10:20","30-Oct-2020 11:05",""
"Feeding","Right Breast","30-Oct-2020 10:07","30-Oct-2020 10:19",""
"Feeding","Left Breast","30-Oct-2020 09:35","30-Oct-2020 09:40",""
"Feeding","Right Breast","30-Oct-2020 08:30","30-Oct-2020 08:36",""
"Sleep","","30-Oct-2020 05:15","30-Oct-2020 08:29",""
"Feeding","Left Breast","30-Oct-2020 05:06","30-Oct-2020 05:15",""
"Sleep","","30-Oct-2020 00:07","30-Oct-2020 05:05",""
"Feeding","Right Breast","29-Oct-2020 23:58","30-Oct-2020 00:04",""
"Feeding","Left Breast","29-Oct-2020 23:28","29-Oct-2020 23:41",""
"Feeding","Right Breast","29-Oct-2020 22:41","29-Oct-2020 22:54",""
"Feeding","Left Breast","29-Oct-2020 21:32","29-Oct-2020 21:36",""
"Sleep","","29-Oct-2020 20:34","29-Oct-2020 21:26",""
"Feeding","Right Breast","29-Oct-2020 20:28","29-Oct-2020 20:34",""
"Feeding","Left Breast","29-Oct-2020 19:32","29-Oct-2020 19:44",""
"Feeding","Right Breast","29-Oct-2020 18:41","29-Oct-2020 18:48",""
"Feeding","Left Breast","29-Oct-2020 17:49","29-Oct-2020 17:53",""
"Sleep","","29-Oct-2020 16:28","29-Oct-2020 17:22",""
"Feeding","Right Breast","29-Oct-2020 16:17","29-Oct-2020 16:26",""
"Sleep","","29-Oct-2020 14:34","29-Oct-2020 16:16",""
"Feeding","Left Breast","29-Oct-2020 14:29","29-Oct-2020 14:34",""
"Feeding","Right Breast","29-Oct-2020 13:38","29-Oct-2020 13:42",""
"Feeding","Left Breast","29-Oct-2020 13:04","29-Oct-2020 13:11",""
"Feeding","Left Breast","29-Oct-2020 11:57","29-Oct-2020 12:02",""
"Sleep","","29-Oct-2020 10:41","29-Oct-2020 11:35",""
"Feeding","Right Breast","29-Oct-2020 10:34","29-Oct-2020 10:38",""
"Sleep","","29-Oct-2020 09:38","29-Oct-2020 10:34",""
"Feeding","Left Breast","29-Oct-2020 08:41","29-Oct-2020 08:45",""
"Feeding","Right Breast","29-Oct-2020 07:54","29-Oct-2020 08:01",""
"Sleep","","29-Oct-2020 05:50","29-Oct-2020 07:35",""
"Feeding","Right Breast","29-Oct-2020 05:41","29-Oct-2020 05:46",""
"Sleep","","29-Oct-2020 00:28","29-Oct-2020 05:40",""
"Feeding","Left Breast","29-Oct-2020 00:20","29-Oct-2020 00:26",""
"Sleep","","28-Oct-2020 23:35","29-Oct-2020 00:19",""
"Feeding","Right Breast","28-Oct-2020 23:24","28-Oct-2020 23:32",""
"Feeding","Left Breast","28-Oct-2020 23:00","28-Oct-2020 23:07",""
"Feeding","Right Breast","28-Oct-2020 22:07","28-Oct-2020 22:10",""
"Feeding","Left Breast","28-Oct-2020 21:45","28-Oct-2020 21:51",""
"Sleep","","28-Oct-2020 20:11","28-Oct-2020 20:42",""
"Feeding","Right Breast","28-Oct-2020 20:05","28-Oct-2020 20:11",""
"Feeding","Left Breast","28-Oct-2020 18:31","28-Oct-2020 18:37",""
"Feeding","Right Breast","28-Oct-2020 17:34","28-Oct-2020 17:40",""
"Sleep","","28-Oct-2020 15:49","28-Oct-2020 17:25",""
"Feeding","Left Breast","28-Oct-2020 15:46","28-Oct-2020 15:49",""
"Sleep","","28-Oct-2020 14:38","28-Oct-2020 15:37",""
"Feeding","Right Breast","28-Oct-2020 14:29","28-Oct-2020 14:38",""
"Feeding","Left Breast","28-Oct-2020 13:27","28-Oct-2020 13:33",""
"Sleep","","28-Oct-2020 11:46","28-Oct-2020 12:27",""
"Feeding","Right Breast","28-Oct-2020 11:00","28-Oct-2020 11:06",""
"Feeding","Left Breast","28-Oct-2020 09:35","28-Oct-2020 09:43",""
"Sleep","","28-Oct-2020 07:29","28-Oct-2020 09:30",""
"Feeding","Right Breast","28-Oct-2020 07:24","28-Oct-2020 07:29",""
"Sleep","","28-Oct-2020 03:59","28-Oct-2020 07:24",""
"Feeding","Left Breast","28-Oct-2020 03:49","28-Oct-2020 03:59",""
"Sleep","","28-Oct-2020 00:03","28-Oct-2020 03:48",""
"Feeding","Left Breast","27-Oct-2020 23:46","27-Oct-2020 23:54",""
"Feeding","Right Breast","27-Oct-2020 23:10","27-Oct-2020 23:16",""
"Feeding","Left Breast","27-Oct-2020 22:45","27-Oct-2020 22:52",""
"Feeding","Right Breast","27-Oct-2020 22:05","27-Oct-2020 22:13",""
"Sleep","","27-Oct-2020 21:10","27-Oct-2020 21:33",""
"Feeding","Left Breast","27-Oct-2020 20:43","27-Oct-2020 20:49",""
"Feeding","Right Breast","27-Oct-2020 19:20","27-Oct-2020 19:29",""
"Sleep","","27-Oct-2020 17:01","27-Oct-2020 19:15",""
"Feeding","Left Breast","27-Oct-2020 16:55","27-Oct-2020 17:01",""
"Feeding","Right Breast","27-Oct-2020 16:03","27-Oct-2020 16:10",""
"Sleep","","27-Oct-2020 15:09","27-Oct-2020 15:39",""
"Feeding","Left Breast","27-Oct-2020 15:00","27-Oct-2020 15:08",""
"Feeding","Right Breast","27-Oct-2020 14:00","27-Oct-2020 14:06",""
"Feeding","Right Breast","27-Oct-2020 13:15","27-Oct-2020 13:23",""
"Sleep","","27-Oct-2020 12:20","27-Oct-2020 12:58",""
"Feeding","Left Breast","27-Oct-2020 12:15","27-Oct-2020 12:20",""
"Feeding","Right Breast","27-Oct-2020 11:05","27-Oct-2020 11:11",""
"Feeding","Right Breast","27-Oct-2020 10:10","27-Oct-2020 10:15",""
"Sleep","","27-Oct-2020 08:56","27-Oct-2020 10:04",""
"Feeding","Left Breast","27-Oct-2020 08:48","27-Oct-2020 08:56",""
"Sleep","","27-Oct-2020 06:50","27-Oct-2020 08:47",""
"Feeding","Right Breast","27-Oct-2020 06:42","27-Oct-2020 06:45",""
"Sleep","","27-Oct-2020 05:27","27-Oct-2020 06:41",""
"Feeding","Left Breast","27-Oct-2020 05:19","27-Oct-2020 05:27",""
"Sleep","","26-Oct-2020 23:41","27-Oct-2020 05:19",""
"Feeding","Right Breast","26-Oct-2020 23:11","26-Oct-2020 23:15",""
"Feeding","Left Breast","26-Oct-2020 22:58","26-Oct-2020 23:03",""
"Feeding","Right Breast","26-Oct-2020 21:50","26-Oct-2020 21:59",""
